"pupil","school","popular","sex","texp","teachpop"
19,50,9,"girl",25,6
20,50,8,"girl",25,6
1,51,6,"boy",16,5
2,51,7,"girl",16,5
3,51,5,"boy",16,5
4,51,6,"girl",16,5
5,51,6,"girl",16,5
6,51,6,"girl",16,5
7,51,5,"girl",16,5
8,51,6,"boy",16,5
9,51,6,"girl",16,6
10,51,6,"girl",16,5
11,51,6,"boy",16,5
12,51,6,"boy",16,5
13,51,5,"boy",16,5
14,51,8,"girl",16,5
15,51,6,"girl",16,5
16,51,5,"boy",16,4
17,51,5,"girl",16,5
18,51,6,"girl",16,5
19,51,5,"boy",16,5
20,51,5,"boy",16,4
21,51,6,"girl",16,6
22,51,7,"girl",16,5
23,51,5,"boy",16,5
1,52,6,"girl",7,4
2,52,5,"boy",7,4
3,52,6,"girl",7,4
4,52,6,"girl",7,4
5,52,6,"girl",7,5
6,52,4,"boy",7,4
7,52,5,"boy",7,5
8,52,5,"boy",7,4
9,52,6,"girl",7,4
10,52,6,"girl",7,4
11,52,6,"girl",7,5
12,52,4,"boy",7,4
13,52,4,"boy",7,4
14,52,4,"boy",7,4
15,52,5,"boy",7,4
16,52,4,"boy",7,4
17,52,6,"girl",7,5
18,52,4,"boy",7,4
19,52,6,"girl",7,4
20,52,5,"boy",7,5
21,52,6,"girl",7,4
22,52,7,"girl",7,4
23,52,5,"boy",7,4
1,53,5,"girl",21,4
2,53,5,"girl",21,4
3,53,5,"boy",21,4
4,53,5,"girl",21,4
5,53,5,"boy",21,4
6,53,6,"boy",21,4
7,53,5,"boy",21,4
8,53,5,"girl",21,4
9,53,5,"girl",21,5
10,53,6,"boy",21,4
11,53,4,"boy",21,5
12,53,5,"boy",21,5
13,53,6,"boy",21,4
14,53,5,"girl",21,4
15,53,5,"boy",21,4
16,53,5,"girl",21,4
17,53,4,"boy",21,4
18,53,5,"boy",21,5
19,53,5,"girl",21,5
1,54,7,"girl",16,5
2,54,5,"boy",16,4
3,54,5,"boy",16,4
4,54,5,"boy",16,5
5,54,5,"boy",16,4
6,54,5,"boy",16,4
7,54,6,"girl",16,5
8,54,5,"boy",16,4
9,54,5,"boy",16,4
10,54,4,"boy",16,4
11,54,6,"girl",16,4
12,54,5,"boy",16,4
13,54,5,"boy",16,4
14,54,6,"girl",16,4
15,54,6,"girl",16,4
16,54,6,"girl",16,6
17,54,4,"boy",16,5
18,54,6,"girl",16,6
19,54,6,"girl",16,6
1,55,4,"girl",7,4
2,55,4,"girl",7,4
3,55,5,"girl",7,4
4,55,4,"boy",7,4
5,55,3,"girl",7,3
6,55,3,"girl",7,3
7,55,4,"boy",7,3
8,55,4,"girl",7,4
9,55,4,"girl",7,4
10,55,4,"boy",7,3
11,55,4,"boy",7,4
12,55,3,"boy",7,4
13,55,4,"girl",7,4
14,55,5,"girl",7,4
15,55,4,"girl",7,3
16,55,5,"boy",7,3
17,55,4,"girl",7,3
18,55,5,"boy",7,4
19,55,4,"girl",7,3
20,55,4,"boy",7,3
21,55,4,"boy",7,3
1,56,4,"boy",12,4
2,56,3,"boy",12,3
3,56,6,"girl",12,5
4,56,4,"boy",12,3
5,56,4,"boy",12,4
6,56,5,"girl",12,3
7,56,5,"girl",12,3
8,56,5,"boy",12,3
9,56,4,"boy",12,4
10,56,6,"girl",12,4
11,56,5,"girl",12,4
12,56,6,"girl",12,4
13,56,5,"girl",12,4
14,56,4,"boy",12,4
15,56,4,"boy",12,4
16,56,5,"girl",12,5
17,56,4,"boy",12,3
18,56,4,"boy",12,5
19,56,5,"girl",12,4
1,57,5,"girl",4,5
2,57,5,"girl",4,5
3,57,3,"boy",4,3
4,57,4,"boy",4,3
5,57,5,"girl",4,4
6,57,5,"girl",4,5
7,57,4,"boy",4,3
8,57,4,"girl",4,4
9,57,4,"girl",4,3
10,57,3,"boy",4,3
11,57,5,"girl",4,4
12,57,5,"girl",4,4
13,57,4,"boy",4,4
14,57,5,"girl",4,3
15,57,3,"boy",4,3
16,57,5,"girl",4,4
17,57,3,"boy",4,3
18,57,4,"girl",4,4
1,58,7,"boy",22,5
2,58,5,"girl",22,4
3,58,7,"girl",22,5
4,58,6,"girl",22,5
5,58,5,"boy",22,5
6,58,6,"boy",22,5
7,58,6,"girl",22,5
8,58,4,"boy",22,5
9,58,6,"girl",22,6
10,58,4,"boy",22,5
11,58,7,"girl",22,5
12,58,7,"boy",22,5
13,58,6,"girl",22,5
14,58,5,"boy",22,4
15,58,5,"girl",22,5
16,58,7,"girl",22,6
17,58,5,"girl",22,5
18,58,7,"girl",22,5
19,58,6,"boy",22,5
20,58,6,"boy",22,5
1,59,3,"boy",5,2
2,59,4,"girl",5,3
3,59,6,"girl",5,3
4,59,3,"boy",5,2
5,59,4,"boy",5,4
6,59,2,"boy",5,2
7,59,4,"boy",5,3
8,59,5,"girl",5,4
9,59,4,"girl",5,3
10,59,4,"boy",5,4
11,59,4,"boy",5,4
12,59,3,"boy",5,2
13,59,5,"girl",5,4
14,59,4,"girl",5,3
15,59,4,"girl",5,4
16,59,3,"boy",5,3
17,59,5,"boy",5,4
1,60,3,"boy",3,4
2,60,4,"girl",3,4
3,60,4,"boy",3,3
4,60,5,"girl",3,4
5,60,4,"girl",3,3
6,60,3,"boy",3,3
7,60,4,"girl",3,2
8,60,4,"girl",3,4
9,60,3,"boy",3,2
10,60,4,"boy",3,4
11,60,4,"girl",3,4
12,60,2,"boy",3,3
13,60,4,"girl",3,4
14,60,4,"girl",3,3
16,60,3,"girl",3,3
17,60,4,"girl",3,4
18,60,4,"boy",3,3
19,60,3,"boy",3,3
20,60,4,"boy",3,3
21,60,3,"girl",3,3
22,60,3,"boy",3,3
1,61,5,"girl",23,4
2,61,5,"boy",23,4
3,61,5,"girl",23,3
4,61,5,"girl",23,5
5,61,5,"girl",23,3
6,61,5,"boy",23,4
7,61,5,"girl",23,4
8,61,5,"girl",23,3
9,61,5,"boy",23,3
10,61,5,"girl",23,3
11,61,5,"girl",23,5
12,61,5,"boy",23,3
13,61,5,"girl",23,4
14,61,4,"girl",23,5
15,61,4,"boy",23,5
16,61,5,"boy",23,4
17,61,6,"girl",23,4
18,61,6,"boy",23,4
19,61,5,"boy",23,4
1,62,7,"girl",25,5
2,62,6,"boy",25,5
3,62,6,"boy",25,5
4,62,6,"boy",25,5
5,62,6,"boy",25,6
6,62,7,"girl",25,6
7,62,7,"girl",25,5
8,62,7,"girl",25,6
9,62,6,"girl",25,5
10,62,7,"girl",25,5
11,62,6,"girl",25,5
12,62,6,"girl",25,6
13,62,7,"boy",25,5
14,62,7,"boy",25,5
15,62,7,"boy",25,6
16,62,7,"girl",25,5
17,62,7,"boy",25,5
18,62,6,"boy",25,5
19,62,7,"girl",25,5
20,62,6,"boy",25,5
1,63,5,"girl",15,3
2,63,5,"boy",15,4
3,63,4,"girl",15,4
4,63,5,"boy",15,4
5,63,4,"boy",15,3
6,63,4,"boy",15,2
7,63,4,"boy",15,3
8,63,4,"girl",15,3
9,63,4,"boy",15,3
10,63,4,"girl",15,3
11,63,4,"boy",15,3
12,63,4,"girl",15,3
13,63,4,"boy",15,2
14,63,5,"boy",15,4
15,63,4,"girl",15,4
16,63,3,"girl",15,2
17,63,3,"boy",15,3
18,63,4,"girl",15,3
19,63,4,"boy",15,2
20,63,5,"girl",15,3
21,63,4,"girl",15,3
22,63,4,"girl",15,4
23,63,4,"girl",15,2
24,63,4,"boy",15,4
25,63,5,"boy",15,4
1,64,6,"girl",25,6
2,64,7,"girl",25,6
3,64,7,"boy",25,6
4,64,7,"girl",25,6
5,64,7,"boy",25,5
6,64,7,"girl",25,6
7,64,6,"girl",25,6
8,64,8,"boy",25,7
9,64,6,"boy",25,5
11,64,8,"boy",25,7
12,64,8,"girl",25,6
13,64,7,"girl",25,6
14,64,7,"girl",25,6
15,64,8,"girl",25,7
16,64,6,"boy",25,6
17,64,7,"boy",25,6
18,64,7,"boy",25,6
19,64,7,"girl",25,6
20,64,7,"boy",25,6
1,65,5,"boy",22,5
2,65,6,"boy",22,5
3,65,6,"boy",22,5
4,65,7,"girl",22,5
5,65,7,"girl",22,5
6,65,7,"girl",22,6
7,65,6,"boy",22,5
8,65,6,"boy",22,5
9,65,5,"boy",22,5
10,65,7,"girl",22,5
11,65,7,"girl",22,5
12,65,6,"boy",22,5
13,65,5,"boy",22,5
14,65,7,"girl",22,5
15,65,7,"boy",22,6
16,65,7,"girl",22,6
17,65,6,"boy",22,5
18,65,5,"boy",22,5
19,65,5,"boy",22,5
20,65,7,"girl",22,5
21,65,8,"girl",22,6
22,65,7,"girl",22,5
1,66,5,"girl",8,4
2,66,4,"girl",8,4
3,66,3,"boy",8,4
4,66,4,"boy",8,5
5,66,5,"girl",8,4
6,66,6,"girl",8,4
7,66,4,"girl",8,5
8,66,5,"girl",8,4
9,66,4,"girl",8,4
10,66,4,"girl",8,4
11,66,4,"boy",8,4
12,66,5,"girl",8,4
13,66,4,"girl",8,5
14,66,4,"girl",8,5
15,66,5,"girl",8,4
16,66,4,"boy",8,4
17,66,4,"boy",8,4
18,66,5,"boy",8,4
19,66,6,"girl",8,4
20,66,4,"boy",8,4
1,67,6,"boy",23,4
2,67,6,"girl",23,4
3,67,5,"boy",23,4
4,67,5,"girl",23,4
5,67,7,"girl",23,5
6,67,5,"boy",23,4
7,67,6,"girl",23,5
8,67,6,"boy",23,5
9,67,6,"girl",23,6
10,67,6,"girl",23,5
11,67,5,"boy",23,5
12,67,6,"girl",23,4
13,67,6,"girl",23,4
14,67,5,"boy",23,4
15,67,5,"girl",23,5
16,67,5,"boy",23,5
17,67,5,"girl",23,4
18,67,6,"girl",23,4
19,67,5,"boy",23,4
20,67,6,"girl",23,4
21,67,6,"girl",23,5
1,68,6,"boy",20,4
2,68,5,"boy",20,4
3,68,5,"boy",20,4
4,68,5,"boy",20,5
5,68,5,"boy",20,4
6,68,4,"girl",20,4
7,68,5,"boy",20,3
8,68,5,"boy",20,4
9,68,4,"girl",20,4
10,68,4,"girl",20,3
11,68,5,"boy",20,3
12,68,5,"boy",20,4
13,68,6,"girl",20,4
14,68,5,"girl",20,4
15,68,5,"boy",20,4
16,68,5,"boy",20,3
17,68,5,"boy",20,4
1,69,5,"boy",24,4
2,69,4,"girl",24,3
4,69,5,"boy",24,4
5,69,4,"girl",24,4
6,69,5,"boy",24,3
7,69,5,"boy",24,4
8,69,5,"boy",24,5
9,69,5,"girl",24,3
10,69,4,"boy",24,3
11,69,4,"girl",24,3
12,69,4,"boy",24,4
13,69,5,"boy",24,4
14,69,5,"boy",24,4
15,69,4,"girl",24,3
16,69,5,"boy",24,4
17,69,4,"girl",24,3
18,69,5,"girl",24,4
19,69,4,"girl",24,4
1,70,6,"girl",22,5
2,70,6,"girl",22,5
3,70,6,"girl",22,5
4,70,7,"girl",22,5
5,70,6,"girl",22,5
6,70,6,"girl",22,5
7,70,5,"boy",22,4
8,70,6,"boy",22,5
9,70,6,"boy",22,5
10,70,6,"girl",22,5
11,70,5,"boy",22,5
12,70,7,"boy",22,6
13,70,6,"boy",22,5
14,70,5,"boy",22,5
15,70,6,"girl",22,5
16,70,6,"boy",22,5
17,70,6,"girl",22,5
18,70,5,"girl",22,4
19,70,6,"boy",22,5
20,70,6,"boy",22,5
21,70,6,"boy",22,5
1,71,7,"boy",18,6
2,71,6,"boy",18,5
3,71,6,"boy",18,5
4,71,7,"girl",18,5
5,71,7,"boy",18,5
6,71,6,"boy",18,5
7,71,7,"girl",18,5
8,71,7,"girl",18,5
9,71,7,"boy",18,5
10,71,7,"girl",18,5
11,71,6,"boy",18,5
12,71,8,"girl",18,6
13,71,6,"girl",18,5
14,71,5,"boy",18,6
15,71,7,"girl",18,5
16,71,7,"girl",18,5
17,71,7,"boy",18,5
18,71,5,"boy",18,5
19,71,7,"girl",18,5
20,71,6,"girl",18,6
21,71,7,"girl",18,6
22,71,6,"girl",18,5
1,72,4,"boy",19,3
2,72,4,"boy",19,3
3,72,3,"boy",19,3
4,72,4,"boy",19,3
5,72,4,"boy",19,3
6,72,4,"boy",19,3
7,72,4,"girl",19,3
8,72,4,"girl",19,3
9,72,4,"boy",19,4
10,72,4,"boy",19,4
11,72,4,"boy",19,3
12,72,4,"boy",19,3
13,72,5,"girl",19,3
14,72,5,"boy",19,4
15,72,4,"boy",19,3
16,72,3,"boy",19,4
17,72,4,"boy",19,3
18,72,5,"boy",19,4
19,72,5,"girl",19,4
20,72,6,"boy",19,4
21,72,5,"boy",19,4
1,73,7,"girl",14,4
2,73,6,"girl",14,4
3,73,7,"girl",14,5
4,73,7,"girl",14,5
5,73,4,"boy",14,4
6,73,6,"boy",14,4
7,73,4,"boy",14,4
8,73,5,"girl",14,5
9,73,5,"girl",14,4
10,73,5,"boy",14,5
11,73,6,"girl",14,5
12,73,5,"girl",14,5
13,73,5,"boy",14,4
14,73,5,"boy",14,4
15,73,5,"boy",14,4
16,73,4,"boy",14,4
17,73,5,"boy",14,5
18,73,6,"girl",14,4
19,73,5,"girl",14,4
20,73,4,"boy",14,4
1,74,7,"girl",17,5
2,74,7,"boy",17,5
3,74,6,"girl",17,6
4,74,5,"boy",17,5
5,74,5,"boy",17,4
6,74,7,"girl",17,6
7,74,5,"boy",17,4
8,74,6,"boy",17,5
9,74,5,"boy",17,4
10,74,5,"boy",17,4
11,74,4,"boy",17,4
12,74,5,"girl",17,4
13,74,5,"girl",17,5
14,74,5,"boy",17,4
15,74,7,"girl",17,5
16,74,5,"girl",17,4
17,74,6,"boy",17,5
1,75,5,"boy",21,5
2,75,6,"girl",21,4
3,75,6,"boy",21,5
4,75,7,"girl",21,4
5,75,7,"boy",21,4
6,75,5,"boy",21,5
7,75,6,"girl",21,5
8,75,5,"boy",21,4
9,75,6,"boy",21,5
10,75,5,"boy",21,4
11,75,5,"boy",21,4
12,75,6,"boy",21,5
13,75,5,"boy",21,4
14,75,5,"boy",21,4
15,75,6,"girl",21,5
16,75,7,"girl",21,5
17,75,6,"girl",21,6
1,76,5,"boy",16,5
2,76,6,"girl",16,5
3,76,4,"boy",16,5
4,76,8,"girl",16,6
5,76,6,"girl",16,5
6,76,5,"boy",16,5
7,76,5,"boy",16,5
8,76,7,"girl",16,5
9,76,7,"girl",16,5
10,76,6,"boy",16,5
11,76,5,"boy",16,5
12,76,5,"girl",16,5
13,76,6,"boy",16,5
14,76,5,"boy",16,4
15,76,4,"boy",16,4
16,76,6,"girl",16,6
17,76,6,"girl",16,6
18,76,5,"boy",16,4
1,77,4,"boy",3,4
2,77,5,"girl",3,4
3,77,4,"girl",3,4
4,77,4,"girl",3,3
5,77,4,"girl",3,4
6,77,2,"boy",3,4
7,77,5,"girl",3,4
8,77,3,"boy",3,3
9,77,5,"girl",3,4
10,77,3,"boy",3,3
11,77,3,"boy",3,3
12,77,3,"boy",3,3
13,77,4,"boy",3,4
14,77,3,"boy",3,3
15,77,4,"boy",3,3
16,77,4,"boy",3,3
17,77,4,"girl",3,4
18,77,5,"girl",3,4
19,77,4,"boy",3,4
1,78,7,"boy",23,6
2,78,8,"girl",23,6
3,78,8,"girl",23,7
4,78,6,"boy",23,6
5,78,7,"boy",23,6
6,78,7,"girl",23,5
7,78,6,"boy",23,6
8,78,7,"girl",23,6
9,78,7,"boy",23,6
10,78,6,"boy",23,6
11,78,6,"boy",23,6
12,78,8,"boy",23,6
13,78,8,"girl",23,6
14,78,7,"girl",23,6
15,78,6,"boy",23,6
16,78,5,"boy",23,5
17,78,8,"girl",23,6
18,78,7,"girl",23,6
1,79,6,"girl",15,4
2,79,5,"boy",15,4
3,79,6,"boy",15,5
4,79,5,"boy",15,4
5,79,7,"girl",15,5
6,79,5,"boy",15,4
7,79,4,"boy",15,5
8,79,4,"boy",15,5
9,79,5,"boy",15,4
10,79,5,"girl",15,5
11,79,6,"girl",15,4
12,79,4,"girl",15,4
13,79,7,"girl",15,4
14,79,5,"boy",15,4
15,79,6,"girl",15,4
16,79,5,"boy",15,4
17,79,5,"boy",15,4
18,79,4,"boy",15,4
19,79,4,"boy",15,5
20,79,5,"boy",15,4
1,80,6,"boy",23,5
2,80,7,"girl",23,6
3,80,5,"boy",23,5
4,80,7,"girl",23,6
5,80,5,"boy",23,5
6,80,7,"boy",23,6
7,80,8,"boy",23,5
8,80,5,"girl",23,5
9,80,5,"girl",23,5
10,80,6,"boy",23,5
11,80,5,"boy",23,5
12,80,6,"boy",23,5
13,80,6,"girl",23,6
14,80,6,"girl",23,5
15,80,5,"boy",23,5
16,80,7,"boy",23,5
17,80,5,"boy",23,4
18,80,4,"girl",23,5
19,80,6,"girl",23,5
20,80,5,"girl",23,5
1,81,3,"boy",8,3
2,81,4,"boy",8,3
3,81,3,"boy",8,4
4,81,4,"girl",8,2
5,81,4,"girl",8,4
6,81,4,"girl",8,3
7,81,3,"boy",8,4
8,81,4,"girl",8,2
9,81,5,"girl",8,3
10,81,3,"boy",8,4
11,81,4,"boy",8,3
12,81,4,"girl",8,3
13,81,4,"boy",8,4
14,81,4,"girl",8,3
15,81,4,"boy",8,3
16,81,3,"boy",8,4
17,81,3,"boy",8,4
18,81,4,"girl",8,3
19,81,4,"girl",8,3
20,81,3,"boy",8,3
21,81,4,"boy",8,2
1,82,5,"girl",8,4
2,82,4,"girl",8,4
3,82,4,"boy",8,4
4,82,4,"boy",8,4
5,82,5,"girl",8,4
6,82,4,"boy",8,4
7,82,5,"girl",8,5
8,82,4,"girl",8,5
9,82,4,"boy",8,4
10,82,4,"girl",8,4
11,82,4,"boy",8,4
12,82,4,"boy",8,4
13,82,5,"boy",8,4
14,82,4,"boy",8,4
15,82,4,"girl",8,4
16,82,5,"girl",8,4
17,82,6,"girl",8,5
18,82,5,"girl",8,4
19,82,5,"boy",8,5
20,82,5,"girl",8,5
21,82,5,"girl",8,4
1,83,7,"boy",24,6
2,83,7,"boy",24,6
3,83,7,"girl",24,6
4,83,7,"girl",24,5
5,83,7,"girl",24,6
6,83,6,"boy",24,6
7,83,6,"girl",24,6
8,83,7,"girl",24,6
9,83,7,"girl",24,6
10,83,7,"boy",24,6
11,83,7,"girl",24,6
12,83,7,"girl",24,6
13,83,8,"girl",24,6
14,83,8,"girl",24,6
15,83,7,"boy",24,5
16,83,9,"girl",24,7
17,83,7,"boy",24,6
18,83,7,"boy",24,5
1,84,5,"girl",22,4
2,84,5,"boy",22,3
3,84,6,"girl",22,4
4,84,6,"girl",22,5
5,84,4,"boy",22,4
6,84,4,"boy",22,4
7,84,6,"girl",22,3
8,84,5,"boy",22,4
9,84,4,"boy",22,4
10,84,5,"girl",22,4
11,84,6,"girl",22,5
12,84,6,"boy",22,4
13,84,5,"boy",22,3
14,84,4,"boy",22,3
15,84,6,"girl",22,4
16,84,5,"girl",22,3
17,84,5,"boy",22,4
18,84,4,"girl",22,4
19,84,5,"girl",22,4
20,84,5,"girl",22,5
21,84,4,"boy",22,3
1,85,6,"boy",16,6
2,85,6,"girl",16,5
3,85,6,"boy",16,5
4,85,8,"girl",16,6
5,85,6,"girl",16,5
6,85,5,"boy",16,5
7,85,7,"girl",16,5
8,85,5,"boy",16,4
9,85,7,"girl",16,5
10,85,7,"girl",16,5
11,85,7,"boy",16,5
12,85,5,"boy",16,5
13,85,7,"girl",16,5
14,85,5,"boy",16,5
15,85,5,"boy",16,4
16,85,7,"girl",16,6
17,85,5,"boy",16,5
18,85,5,"boy",16,5
19,85,7,"girl",16,5
20,85,6,"girl",16,5
21,85,6,"boy",16,5
22,85,6,"girl",16,6
1,86,4,"boy",4,2
2,86,5,"girl",4,4
3,86,3,"boy",4,3
4,86,3,"boy",4,3
5,86,4,"girl",4,2
6,86,5,"girl",4,4
7,86,5,"girl",4,4
8,86,3,"boy",4,3
9,86,4,"boy",4,2
10,86,3,"boy",4,3
11,86,4,"boy",4,3
12,86,3,"boy",4,4
13,86,4,"girl",4,4
14,86,3,"boy",4,3
15,86,4,"girl",4,2
16,86,4,"girl",4,3
17,86,4,"girl",4,4
18,86,5,"girl",4,4
19,86,3,"boy",4,3
20,86,4,"boy",4,2
21,86,3,"boy",4,3
22,86,4,"girl",4,4
1,87,4,"boy",2,4
2,87,4,"girl",2,4
3,87,4,"girl",2,3
4,87,5,"girl",2,3
5,87,5,"girl",2,4
6,87,4,"boy",2,3
7,87,4,"girl",2,4
8,87,5,"girl",2,4
9,87,4,"boy",2,3
10,87,5,"girl",2,4
11,87,3,"boy",2,4
12,87,3,"boy",2,3
13,87,4,"girl",2,3
14,87,4,"girl",2,3
15,87,5,"girl",2,4
16,87,3,"boy",2,3
17,87,4,"boy",2,3
18,87,4,"girl",2,3
19,87,3,"boy",2,3
20,87,4,"boy",2,3
21,87,5,"girl",2,3
1,88,6,"girl",13,4
2,88,5,"boy",13,4
3,88,5,"girl",13,5
4,88,6,"girl",13,3
5,88,6,"girl",13,4
6,88,6,"girl",13,5
7,88,6,"girl",13,4
8,88,3,"boy",13,3
9,88,5,"boy",13,4
10,88,5,"boy",13,3
11,88,7,"girl",13,4
12,88,6,"girl",13,4
13,88,5,"boy",13,4
14,88,5,"boy",13,3
15,88,6,"boy",13,3
16,88,6,"girl",13,3
17,88,5,"girl",13,5
18,88,4,"boy",13,5
19,88,5,"boy",13,4
20,88,5,"girl",13,5
21,88,5,"boy",13,5
22,88,5,"boy",13,3
23,88,5,"boy",13,5
1,89,6,"girl",13,6
2,89,6,"girl",13,6
3,89,6,"girl",13,6
4,89,5,"boy",13,5
5,89,6,"girl",13,5
6,89,6,"girl",13,6
7,89,7,"girl",13,5
8,89,6,"girl",13,6
9,89,6,"boy",13,6
10,89,5,"boy",13,4
11,89,6,"girl",13,5
12,89,7,"girl",13,5
13,89,6,"boy",13,5
14,89,5,"boy",13,5
15,89,5,"boy",13,4
16,89,6,"boy",13,6
17,89,7,"girl",13,5
18,89,4,"boy",13,5
1,90,6,"girl",3,5
2,90,5,"boy",3,5
3,90,4,"boy",3,5
4,90,6,"boy",3,6
5,90,5,"girl",3,5
6,90,6,"boy",3,5
7,90,7,"girl",3,6
8,90,5,"boy",3,5
9,90,6,"girl",3,5
10,90,6,"girl",3,6
11,90,5,"boy",3,5
12,90,6,"girl",3,6
13,90,6,"girl",3,5
14,90,6,"girl",3,5
15,90,6,"girl",3,5
16,90,6,"girl",3,5
17,90,5,"girl",3,4
18,90,6,"girl",3,5
19,90,5,"boy",3,5
20,90,6,"girl",3,5
21,90,6,"girl",3,5
22,90,4,"boy",3,5
23,90,4,"boy",3,4
1,91,7,"boy",16,7
2,91,9,"girl",16,7
3,91,8,"girl",16,7
4,91,5,"boy",16,7
5,91,9,"girl",16,6
6,91,6,"boy",16,5
7,91,8,"girl",16,7
8,91,7,"boy",16,7
9,91,7,"boy",16,7
10,91,6,"boy",16,7
11,91,8,"girl",16,7
12,91,8,"girl",16,7
13,91,6,"boy",16,7
14,91,9,"girl",16,7
15,91,9,"girl",16,7
16,91,7,"boy",16,7
17,91,6,"boy",16,6
18,91,8,"girl",16,7
1,92,5,"boy",16,3
2,92,4,"boy",16,5
3,92,6,"boy",16,4
4,92,4,"boy",16,4
5,92,6,"girl",16,3
6,92,6,"girl",16,4
7,92,4,"boy",16,3
8,92,4,"boy",16,3
9,92,6,"boy",16,5
10,92,3,"boy",16,3
11,92,5,"girl",16,4
12,92,4,"boy",16,4
13,92,5,"boy",16,4
14,92,5,"girl",16,5
15,92,5,"boy",16,4
16,92,4,"boy",16,5
17,92,4,"boy",16,4
1,93,5,"girl",10,4
2,93,7,"girl",10,5
3,93,6,"girl",10,4
4,93,5,"boy",10,4
5,93,5,"boy",10,4
6,93,6,"girl",10,5
7,93,5,"boy",10,5
8,93,4,"boy",10,4
9,93,5,"boy",10,5
10,93,6,"girl",10,4
11,93,5,"boy",10,4
12,93,5,"boy",10,4
13,93,5,"boy",10,5
14,93,5,"girl",10,5
15,93,6,"girl",10,5
16,93,4,"boy",10,4
17,93,7,"girl",10,6
18,93,5,"boy",10,4
19,93,5,"boy",10,4
20,93,6,"boy",10,6
1,94,5,"boy",21,4
2,94,4,"boy",21,4
3,94,6,"girl",21,5
4,94,6,"girl",21,5
5,94,5,"boy",21,5
6,94,5,"girl",21,5
7,94,6,"girl",21,4
8,94,6,"girl",21,4
9,94,6,"girl",21,4
10,94,4,"boy",21,4
11,94,5,"boy",21,5
12,94,4,"boy",21,4
13,94,6,"girl",21,5
14,94,4,"boy",21,5
15,94,5,"boy",21,4
16,94,6,"girl",21,5
1,95,5,"boy",15,5
2,95,7,"girl",15,5
3,95,5,"boy",15,5
4,95,5,"boy",15,4
5,95,6,"boy",15,5
6,95,7,"girl",15,5
7,95,6,"boy",15,5
8,95,6,"boy",15,5
9,95,6,"girl",15,5
10,95,5,"boy",15,5
11,95,5,"boy",15,5
12,95,6,"girl",15,6
13,95,6,"girl",15,6
14,95,6,"girl",15,6
15,95,6,"girl",15,5
16,95,6,"girl",15,6
17,95,8,"girl",15,6
18,95,5,"boy",15,4
19,95,5,"boy",15,5
20,95,7,"girl",15,5
21,95,5,"boy",15,5
1,96,5,"girl",13,3
2,96,5,"girl",13,3
3,96,5,"boy",13,3
4,96,5,"boy",13,5
5,96,5,"boy",13,4
6,96,5,"girl",13,5
7,96,5,"boy",13,4
8,96,4,"boy",13,4
9,96,4,"boy",13,4
10,96,5,"girl",13,4
11,96,5,"girl",13,4
12,96,4,"girl",13,5
13,96,6,"boy",13,3
14,96,4,"boy",13,4
15,96,6,"girl",13,4
16,96,5,"girl",13,4
17,96,5,"girl",13,4
18,96,5,"boy",13,4
19,96,5,"boy",13,3
20,96,5,"boy",13,4
21,96,5,"girl",13,4
1,97,4,"girl",9,3
2,97,3,"boy",9,4
3,97,5,"boy",9,3
4,97,4,"boy",9,3
5,97,4,"boy",9,4
6,97,5,"girl",9,4
7,97,5,"girl",9,3
8,97,4,"boy",9,3
9,97,5,"girl",9,4
10,97,4,"boy",9,4
11,97,3,"boy",9,3
12,97,5,"girl",9,3
13,97,3,"boy",9,3
14,97,4,"girl",9,3
15,97,3,"boy",9,4
16,97,5,"girl",9,3
17,97,4,"boy",9,4
18,97,6,"girl",9,4
19,97,5,"girl",9,4
20,97,5,"girl",9,4
21,97,4,"boy",9,3
1,98,7,"boy",25,7
2,98,8,"girl",25,6
3,98,8,"boy",25,7
4,98,8,"girl",25,7
5,98,9,"girl",25,7
6,98,8,"girl",25,7
7,98,9,"boy",25,7
8,98,7,"girl",25,7
9,98,7,"boy",25,6
10,98,8,"boy",25,7
11,98,8,"girl",25,7
12,98,9,"girl",25,7
13,98,7,"boy",25,7
14,98,8,"girl",25,7
15,98,8,"girl",25,6
16,98,9,"boy",25,7
17,98,8,"girl",25,7
18,98,7,"girl",25,6
19,98,7,"girl",25,7
20,98,7,"girl",25,6
21,98,7,"girl",25,7
1,99,6,"boy",21,5
2,99,6,"boy",21,6
3,99,6,"boy",21,5
4,99,6,"boy",21,5
5,99,7,"girl",21,5
6,99,7,"girl",21,5
7,99,5,"boy",21,5
8,99,7,"girl",21,5
9,99,7,"girl",21,5
10,99,7,"girl",21,5
11,99,5,"boy",21,5
12,99,5,"girl",21,5
13,99,6,"boy",21,5
14,99,6,"boy",21,6
15,99,7,"girl",21,5
16,99,6,"boy",21,5
17,99,6,"boy",21,5
18,99,6,"boy",21,5
19,99,7,"girl",21,6
20,99,6,"girl",21,5
21,99,5,"boy",21,5
22,99,6,"boy",21,6
23,99,5,"boy",21,5
1,100,5,"boy",7,5
2,100,4,"boy",7,4
3,100,6,"girl",7,4
4,100,4,"boy",7,4
5,100,5,"girl",7,5
6,100,7,"girl",7,5
7,100,3,"boy",7,4
8,100,5,"boy",7,4
9,100,4,"boy",7,4
10,100,4,"boy",7,4
11,100,4,"boy",7,5
12,100,6,"girl",7,5
13,100,6,"girl",7,4
14,100,6,"girl",7,4
